Product,Year,Month,Retailer,SalesMethod,UnitsSold,Revenue,OperatingProfit
Men's Apparel,2020,12,Foot Locker,Outlet,650,310.0,93.0
Men's Apparel,2020,12,West Gear,Online,297,17.958,11.493
Men's Apparel,2020,12,West Gear,Outlet,1353,682.346,341.966
Men's Apparel,2021,1,Amazon,In-store,450,258.75,83.813
Men's Apparel,2021,1,Amazon,Online,979,328.614,116.869
Men's Apparel,2021,1,Amazon,Outlet,144,5.772,2.112
Men's Apparel,2021,1,Foot Locker,In-store,1100,482.5,170.0
Men's Apparel,2021,1,Foot Locker,Online,2781,890.714,4062.762
Men's Apparel,2021,1,Foot Locker,Outlet,909,236.329,3162.997
Men's Apparel,2021,1,Kohl's,In-store,675,328.75,98.625
Men's Apparel,2021,1,Kohl's,Online,1250,257.148,861.326
Men's Apparel,2021,1,Kohl's,Outlet,1607,681.816,407.908
Men's Apparel,2021,1,Sports Direct,In-store,800,377.5,129.75
Men's Apparel,2021,1,Sports Direct,Online,2054,623.298,988.044
Men's Apparel,2021,1,Sports Direct,Outlet,610,135.606,615.905
Men's Apparel,2021,1,West Gear,In-store,1825,841.25,316.813
Men's Apparel,2021,1,West Gear,Online,1825,181.825,84.004
Men's Apparel,2021,1,West Gear,Outlet,4886,2335.184,2892.116
Men's Apparel,2021,2,Amazon,In-store,500,288.75,92.813
Men's Apparel,2021,2,Amazon,Online,1047,322.644,114.804
Men's Apparel,2021,2,Amazon,Outlet,414,168.884,996.924
Men's Apparel,2021,2,Foot Locker,In-store,950,415.0,148.625
Men's Apparel,2021,2,Foot Locker,Online,2434,797.789,5967.37
Men's Apparel,2021,2,Foot Locker,Outlet,504,85.591,2508.629
Men's Apparel,2021,2,Kohl's,In-store,675,328.75,98.625
Men's Apparel,2021,2,Kohl's,Online,1167,213.11,848.593
Men's Apparel,2021,2,Kohl's,Outlet,1712,862.108,1191.0
Men's Apparel,2021,2,Sports Direct,In-store,800,377.5,129.75
Men's Apparel,2021,2,Sports Direct,Online,1519,452.847,1905.775
Men's Apparel,2021,2,Sports Direct,Outlet,441,119.25,2940.0
Men's Apparel,2021,2,Walmart,Online,423,117.082,41.312000000000005
Men's Apparel,2021,2,Walmart,Outlet,111,2.553,945.0
Men's Apparel,2021,2,West Gear,In-store,1950,908.75,337.563
Men's Apparel,2021,2,West Gear,Online,1381,144.571,2342.2650000000003
Men's Apparel,2021,2,West Gear,Outlet,2995,1341.738,2845.548
Men's Apparel,2021,3,Amazon,In-store,375,216.25,69.688
Men's Apparel,2021,3,Amazon,Online,842,248.238,88.54
Men's Apparel,2021,3,Amazon,Outlet,291,118.586,1745.438
Men's Apparel,2021,3,Foot Locker,In-store,750,333.75,120.25
Men's Apparel,2021,3,Foot Locker,Online,1773,1429.325,4932.012
Men's Apparel,2021,3,Foot Locker,Outlet,326,905.618,2378.25
Men's Apparel,2021,3,Kohl's,In-store,575,281.25,84.375
Men's Apparel,2021,3,Kohl's,Online,1176,198.413,1336.241
Men's Apparel,2021,3,Kohl's,Outlet,2626,1131.711,1338.078
Men's Apparel,2021,3,Sports Direct,In-store,625,293.75,102.5
Men's Apparel,2021,3,Sports Direct,Online,1486,371.03,3866.614
Men's Apparel,2021,3,Sports Direct,Outlet,1569,490.21,4463.505
Men's Apparel,2021,3,Walmart,Online,315,89.58,987.625
Men's Apparel,2021,3,Walmart,Outlet,88,2.112,845.0
Men's Apparel,2021,3,West Gear,In-store,1625,748.75,279.188
Men's Apparel,2021,3,West Gear,Online,981,2114.503,3199.838
Men's Apparel,2021,3,West Gear,Outlet,319,10.212,2222.028
Men's Apparel,2021,4,Amazon,In-store,325,187.5,60.375
Men's Apparel,2021,4,Amazon,Online,768,244.392,2631.291
Men's Apparel,2021,4,Amazon,Outlet,264,94.613,1740.5
Men's Apparel,2021,4,Foot Locker,In-store,675,325.0,123.25
Men's Apparel,2021,4,Foot Locker,Online,1773,1270.712,4455.714
Men's Apparel,2021,4,Foot Locker,Outlet,350,584.061,1530.551
Men's Apparel,2021,4,Kohl's,In-store,525,257.5,77.25
Men's Apparel,2021,4,Kohl's,Online,1143,216.945,1326.723
Men's Apparel,2021,4,Kohl's,Outlet,2813,1066.189,1552.186
Men's Apparel,2021,4,Sports Direct,In-store,750,385.0,135.375
Men's Apparel,2021,4,Sports Direct,Online,1735,377.67,2310.545
Men's Apparel,2021,4,Sports Direct,Outlet,3102,1018.277,2966.684
Men's Apparel,2021,4,Walmart,Online,381,106.123,37.494
Men's Apparel,2021,4,Walmart,Outlet,335,125.145,1504.0
Men's Apparel,2021,4,West Gear,In-store,1550,808.75,303.564
Men's Apparel,2021,4,West Gear,Online,1004,805.896,2091.827
Men's Apparel,2021,4,West Gear,Outlet,328,9.335,3740.0
Men's Apparel,2021,5,Amazon,In-store,575,360.0,116.25
Men's Apparel,2021,5,Amazon,Online,987,321.258,1002.538
Men's Apparel,2021,5,Amazon,Outlet,456,187.616,47.902
Men's Apparel,2021,5,Foot Locker,In-store,1025,497.5,176.25
Men's Apparel,2021,5,Foot Locker,Online,2226,782.092,4147.825
Men's Apparel,2021,5,Foot Locker,Outlet,727,228.402,2442.921
Men's Apparel,2021,5,Kohl's,In-store,700,350.0,105.0
Men's Apparel,2021,5,Kohl's,Online,1646,314.383,119.208
Men's Apparel,2021,5,Kohl's,Outlet,4286,1940.441,1069.358
Men's Apparel,2021,5,Sports Direct,In-store,1050,571.25,195.125
Men's Apparel,2021,5,Sports Direct,Online,1771,468.743,853.8870000000001
Men's Apparel,2021,5,Sports Direct,Outlet,2446,873.129,1004.269
Men's Apparel,2021,5,Walmart,Online,478,153.356,53.998000000000005
Men's Apparel,2021,5,Walmart,Outlet,404,130.158,740.135
Men's Apparel,2021,5,West Gear,In-store,1950,936.25,349.875
Men's Apparel,2021,5,West Gear,Online,1381,345.61,1846.798
Men's Apparel,2021,5,West Gear,Outlet,425,13.708,846.789
Men's Apparel,2021,6,Amazon,In-store,625,391.25,126.375
Men's Apparel,2021,6,Amazon,Online,1163,452.324,161.006
Men's Apparel,2021,6,Amazon,Outlet,519,204.978,52.626
Men's Apparel,2021,6,Foot Locker,In-store,1575,901.25,325.625
Men's Apparel,2021,6,Foot Locker,Online,2872,2464.0,7256.301
Men's Apparel,2021,6,Foot Locker,Outlet,1901,928.219,1166.595
Men's Apparel,2021,6,Kohl's,In-store,750,375.0,112.5
Men's Apparel,2021,6,Kohl's,Online,945,350.209,115.441
Men's Apparel,2021,6,Kohl's,Outlet,93,4.092,1.432
Men's Apparel,2021,6,Sports Direct,In-store,1200,660.0,226.813
Men's Apparel,2021,6,Sports Direct,Online,1492,604.746,1037.082
Men's Apparel,2021,6,Sports Direct,Outlet,259,10.11,926.588
Men's Apparel,2021,6,Walmart,In-store,450,427.5,85.5
Men's Apparel,2021,6,Walmart,Online,599,222.756,78.316
Men's Apparel,2021,6,Walmart,Outlet,269,15.155,4.064
Men's Apparel,2021,6,West Gear,In-store,2000,1128.75,424.938
Men's Apparel,2021,6,West Gear,Online,2060,890.051,2145.012
Men's Apparel,2021,6,West Gear,Outlet,688,34.357,14.467
Men's Apparel,2021,7,Amazon,In-store,325,195.0,68.25
Men's Apparel,2021,7,Amazon,Online,1316,511.783,181.702
Men's Apparel,2021,7,Amazon,Outlet,908,448.789,124.821
Men's Apparel,2021,7,Foot Locker,In-store,1725,1081.25,405.875
Men's Apparel,2021,7,Foot Locker,Online,2827,2799.725,3510.444
Men's Apparel,2021,7,Foot Locker,Outlet,2323,1150.664,1072.773
Men's Apparel,2021,7,Kohl's,In-store,800,400.0,120.0
Men's Apparel,2021,7,Kohl's,Online,1272,518.489,168.437
Men's Apparel,2021,7,Kohl's,Outlet,160,6.4,2.048
Men's Apparel,2021,7,Sports Direct,In-store,1475,820.0,277.125
Men's Apparel,2021,7,Sports Direct,Online,1898,755.345,269.168
Men's Apparel,2021,7,Sports Direct,Outlet,335,13.597,4.738
Men's Apparel,2021,7,Walmart,In-store,650,617.5,123.5
Men's Apparel,2021,7,Walmart,Online,1389,587.75,207.259
Men's Apparel,2021,7,Walmart,Outlet,507,27.004,8.049
Men's Apparel,2021,7,West Gear,In-store,2325,1468.75,559.563
Men's Apparel,2021,7,West Gear,Online,2582,1182.493,486.181
Men's Apparel,2021,7,West Gear,Outlet,848,45.944,20.609
Men's Apparel,2021,8,Amazon,In-store,225,135.0,47.25
Men's Apparel,2021,8,Amazon,Online,1128,409.477,145.778
Men's Apparel,2021,8,Amazon,Outlet,627,315.446,87.708
Men's Apparel,2021,8,Foot Locker,In-store,1250,676.25,255.375
Men's Apparel,2021,8,Foot Locker,Online,2143,802.73,1824.414
Men's Apparel,2021,8,Foot Locker,Outlet,658,224.332,611.793
Men's Apparel,2021,8,Kohl's,In-store,675,337.5,101.25
Men's Apparel,2021,8,Kohl's,Online,1129,490.247,1065.518
Men's Apparel,2021,8,Kohl's,Outlet,162,7.776,2.644
Men's Apparel,2021,8,Sports Direct,In-store,1150,567.5,193.0
Men's Apparel,2021,8,Sports Direct,Online,2996,974.915,4793.328
Men's Apparel,2021,8,Sports Direct,Outlet,3703,1030.493,5003.778
Men's Apparel,2021,8,Walmart,In-store,475,380.0,76.0
Men's Apparel,2021,8,Walmart,Online,1350,444.261,155.577
Men's Apparel,2021,8,Walmart,Outlet,962,388.008,61.63
Men's Apparel,2021,8,West Gear,In-store,1925,1005.0,381.625
Men's Apparel,2021,8,West Gear,Online,1543,498.533,212.247
Men's Apparel,2021,8,West Gear,Outlet,502,21.059,986.082
Men's Apparel,2021,9,Amazon,In-store,200,120.0,42.0
Men's Apparel,2021,9,Amazon,Online,1003,264.55,94.256
Men's Apparel,2021,9,Amazon,Outlet,563,282.874,78.793
Men's Apparel,2021,9,Foot Locker,In-store,950,416.25,152.313
Men's Apparel,2021,9,Foot Locker,Online,1812,650.36,3363.303
Men's Apparel,2021,9,Foot Locker,Outlet,235,9.256,407.088
Men's Apparel,2021,9,Kohl's,In-store,650,325.0,97.5
Men's Apparel,2021,9,Kohl's,Online,988,326.635,1608.166
Men's Apparel,2021,9,Kohl's,Outlet,145,5.8,2.03
Men's Apparel,2021,9,Sports Direct,In-store,1025,488.75,167.563
Men's Apparel,2021,9,Sports Direct,Online,3280,765.275,2273.85
Men's Apparel,2021,9,Sports Direct,Outlet,6303,2226.71,2192.224
Men's Apparel,2021,9,Walmart,In-store,275,192.5,38.5
Men's Apparel,2021,9,Walmart,Online,1092,217.741,76.428
Men's Apparel,2021,9,Walmart,Outlet,687,272.478,820.646
Men's Apparel,2021,9,West Gear,In-store,1575,663.75,246.938
Men's Apparel,2021,9,West Gear,Online,1084,235.443,2900.134
Men's Apparel,2021,9,West Gear,Outlet,352,10.483,1344.185
Men's Apparel,2021,10,Amazon,In-store,175,122.5,42.875
Men's Apparel,2021,10,Amazon,Online,945,262.567,2805.623
Men's Apparel,2021,10,Amazon,Outlet,708,380.69,95.555
Men's Apparel,2021,10,Foot Locker,In-store,975,503.75,182.813
Men's Apparel,2021,10,Foot Locker,Online,1709,611.833,2912.896
Men's Apparel,2021,10,Foot Locker,Outlet,615,1132.904,2004.944
Men's Apparel,2021,10,Kohl's,In-store,600,336.25,100.875
Men's Apparel,2021,10,Kohl's,Online,803,263.046,1640.158
Men's Apparel,2021,10,Kohl's,Outlet,114,4.674,1.542
Men's Apparel,2021,10,Sports Direct,In-store,775,425.0,147.375
Men's Apparel,2021,10,Sports Direct,Online,2532,601.323,1524.016
Men's Apparel,2021,10,Sports Direct,Outlet,3990,1567.655,1830.251
Men's Apparel,2021,10,Walmart,In-store,350,227.5,45.5
Men's Apparel,2021,10,Walmart,Online,974,220.569,77.398
Men's Apparel,2021,10,Walmart,Outlet,562,172.488,733.677
Men's Apparel,2021,10,West Gear,In-store,1525,750.0,279.75
Men's Apparel,2021,10,West Gear,Online,1127,261.18,2408.009
Men's Apparel,2021,10,West Gear,Outlet,358,11.284,1234.771
Men's Apparel,2021,11,Amazon,In-store,525,355.0,108.0
Men's Apparel,2021,11,Amazon,Online,1062,1356.417,3135.707
Men's Apparel,2021,11,Amazon,Outlet,1194,638.45,160.524
Men's Apparel,2021,11,Foot Locker,In-store,1550,976.25,355.5
Men's Apparel,2021,11,Foot Locker,Online,2504,1038.328,3708.458
Men's Apparel,2021,11,Foot Locker,Outlet,1446,1574.791,3133.302
Men's Apparel,2021,11,Kohl's,In-store,750,440.0,132.0
Men's Apparel,2021,11,Kohl's,Online,1055,493.175,161.567
Men's Apparel,2021,11,Kohl's,Outlet,216,12.174,4.657
Men's Apparel,2021,11,Sports Direct,In-store,850,510.0,180.0
Men's Apparel,2021,11,Sports Direct,Online,2743,1386.949,491.844
Men's Apparel,2021,11,Sports Direct,Outlet,461,22.113,873.561
Men's Apparel,2021,11,Walmart,In-store,475,403.75,80.75
Men's Apparel,2021,11,Walmart,Online,237,18.927,5.678
Men's Apparel,2021,11,Walmart,Outlet,522,327.276,50.115
Men's Apparel,2021,11,West Gear,In-store,1950,1191.25,459.125
Men's Apparel,2021,11,West Gear,Online,1571,640.084,264.295
Men's Apparel,2021,11,West Gear,Outlet,520,24.365,10.717
Men's Apparel,2021,12,Amazon,In-store,625,422.5,128.375
Men's Apparel,2021,12,Amazon,Online,1140,501.446,1688.56
Men's Apparel,2021,12,Amazon,Outlet,669,290.922,73.767
Men's Apparel,2021,12,Foot Locker,In-store,2075,1252.5,437.5
Men's Apparel,2021,12,Foot Locker,Online,3383,1401.605,2005.803
Men's Apparel,2021,12,Foot Locker,Outlet,2225,907.123,3149.362
Men's Apparel,2021,12,Kohl's,In-store,900,585.0,194.188
Men's Apparel,2021,12,Kohl's,Online,1090,445.016,148.524
Men's Apparel,2021,12,Kohl's,Outlet,207,9.968,3.713
Men's Apparel,2021,12,Sports Direct,In-store,975,680.0,242.0
Men's Apparel,2021,12,Sports Direct,Online,2805,1354.527,464.271
Men's Apparel,2021,12,Sports Direct,Outlet,941,410.315,67.933
Men's Apparel,2021,12,West Gear,In-store,2525,1635.0,554.125
Men's Apparel,2021,12,West Gear,Online,1875,732.922,263.815
Men's Apparel,2021,12,West Gear,Outlet,592,29.882,10.977
Men's Athletic Footwear,2020,1,Foot Locker,In-store,1000,500.0,150.0
Men's Athletic Footwear,2020,1,Foot Locker,Online,780,36.658,15.761
Men's Athletic Footwear,2020,1,Foot Locker,Outlet,2775,947.33,285.805
Men's Athletic Footwear,2020,1,West Gear,Online,571,29.216,11.593
Men's Athletic Footwear,2020,1,West Gear,Outlet,2665,1126.754,296.371
Men's Athletic Footwear,2020,2,Foot Locker,Online,493,23.948,9.689
Men's Athletic Footwear,2020,2,Foot Locker,Outlet,2436,980.727,295.096
Men's Athletic Footwear,2020,2,West Gear,In-store,1800,1202.5,263.25
Men's Athletic Footwear,2020,2,West Gear,Online,848,52.109,19.325
Men's Athletic Footwear,2020,2,West Gear,Outlet,2117,796.644,218.896
Men's Athletic Footwear,2020,3,Foot Locker,Online,845,45.055,18.614
Men's Athletic Footwear,2020,3,Foot Locker,Outlet,4067,1717.761,517.33
Men's Athletic Footwear,2020,3,West Gear,In-store,2500,1352.5,270.5
Men's Athletic Footwear,2020,3,West Gear,Online,685,35.586,11.883
Men's Athletic Footwear,2020,3,West Gear,Outlet,555,25.397,6.35
Men's Athletic Footwear,2020,4,Foot Locker,In-store,725,326.25,114.188
Men's Athletic Footwear,2020,4,Foot Locker,Online,210,8.61,4.305
Men's Athletic Footwear,2020,4,Walmart,Online,543,27.969,12.162
Men's Athletic Footwear,2020,4,Walmart,Outlet,2637,1113.78,335.335
Men's Athletic Footwear,2020,4,West Gear,In-store,4175,2652.5,849.502
Men's Athletic Footwear,2020,4,West Gear,Online,1120,68.33500000000001,30.609
Men's Athletic Footwear,2020,5,Sports Direct,In-store,875,481.25,168.438
Men's Athletic Footwear,2020,5,Sports Direct,Online,254,12.954,6.088
Men's Athletic Footwear,2020,5,Walmart,Online,300,15.3,6.426
Men's Athletic Footwear,2020,5,Walmart,Outlet,1310,563.33,169.666
Men's Athletic Footwear,2020,5,West Gear,In-store,2850,1795.0,448.75
Men's Athletic Footwear,2020,5,West Gear,Online,783,45.986,17.04
Men's Athletic Footwear,2020,6,West Gear,In-store,2250,1502.5,375.625
Men's Athletic Footwear,2020,6,West Gear,Online,630,39.467,14.848
Men's Athletic Footwear,2020,7,Sports Direct,Online,480,16.064999999999998,7.536
Men's Athletic Footwear,2020,7,Sports Direct,Outlet,2309,626.167,219.764
Men's Athletic Footwear,2020,7,West Gear,In-store,3200,2387.5,596.876
Men's Athletic Footwear,2020,7,West Gear,Online,892,63.56,23.445
Men's Athletic Footwear,2020,8,Foot Locker,In-store,2350,1057.5,370.125
Men's Athletic Footwear,2020,8,Foot Locker,Online,641,26.896,13.085
Men's Athletic Footwear,2020,8,Sports Direct,Online,461,17.754,7.99
Men's Athletic Footwear,2020,8,Sports Direct,Outlet,2344,726.764,255.215
Men's Athletic Footwear,2020,8,Walmart,Online,994,40.453,18.402
Men's Athletic Footwear,2020,8,Walmart,Outlet,4950,1679.704,590.186
Men's Athletic Footwear,2020,8,West Gear,In-store,750,637.5,159.375
Men's Athletic Footwear,2020,8,West Gear,Online,195,15.015,5.706
Men's Athletic Footwear,2020,9,Foot Locker,In-store,850,425.0,148.75
Men's Athletic Footwear,2020,9,Foot Locker,Online,255,11.73,5.279
Men's Athletic Footwear,2020,9,Sports Direct,In-store,825,412.5,144.375
Men's Athletic Footwear,2020,9,Sports Direct,Online,215,10.105,4.547
Men's Athletic Footwear,2020,9,Walmart,Online,429,18.021,8.382000000000001
Men's Athletic Footwear,2020,9,Walmart,Outlet,2153,757.852,265.699
Men's Athletic Footwear,2020,9,West Gear,In-store,1800,1080.0,378.0
Men's Athletic Footwear,2020,9,West Gear,Online,477,26.685,12.137
Men's Athletic Footwear,2020,10,Foot Locker,In-store,525,190.0,57.0
Men's Athletic Footwear,2020,10,Foot Locker,Online,138,4.767,1971.0
Men's Athletic Footwear,2020,10,Sports Direct,In-store,800,400.0,140.0
Men's Athletic Footwear,2020,10,Sports Direct,Online,224,10.976,5.268
Men's Athletic Footwear,2020,10,Walmart,Online,528,22.989,11.139
Men's Athletic Footwear,2020,10,Walmart,Outlet,2489,853.308,299.924
Men's Athletic Footwear,2020,11,Foot Locker,In-store,250,107.5,32.25
Men's Athletic Footwear,2020,11,Foot Locker,Online,283,11.753,2006.952
Men's Athletic Footwear,2020,11,Foot Locker,Outlet,775,340.0,102.0
Men's Athletic Footwear,2020,11,West Gear,Online,579,29.946,9.182
Men's Athletic Footwear,2020,11,West Gear,Outlet,2918,1195.797,240.105
Men's Athletic Footwear,2020,12,Foot Locker,Online,260,9.883,1640.67
Men's Athletic Footwear,2020,12,Foot Locker,Outlet,925,373.75,112.125
Men's Athletic Footwear,2020,12,Kohl's,Online,128,5.504,2.312
Men's Athletic Footwear,2020,12,Kohl's,Outlet,475,213.75,64.125
Men's Athletic Footwear,2020,12,West Gear,Online,203,12.586,3.776
Men's Athletic Footwear,2020,12,West Gear,Outlet,891,449.766,90.504
Men's Athletic Footwear,2021,1,Amazon,In-store,650,308.75,130.813
Men's Athletic Footwear,2021,1,Amazon,Online,1288,337.207,120.845
Men's Athletic Footwear,2021,1,Amazon,Outlet,218,8.181,3.748
Men's Athletic Footwear,2021,1,Foot Locker,In-store,1800,630.0,220.501
Men's Athletic Footwear,2021,1,Foot Locker,Online,4158,1019.906,2250.874
Men's Athletic Footwear,2021,1,Foot Locker,Outlet,1452,355.37,984.222
Men's Athletic Footwear,2021,1,Kohl's,In-store,875,336.25,105.688
Men's Athletic Footwear,2021,1,Kohl's,Online,1879,342.508,134.81
Men's Athletic Footwear,2021,1,Kohl's,Outlet,2427,984.84,933.698
Men's Athletic Footwear,2021,1,Sports Direct,In-store,1100,412.5,155.0
Men's Athletic Footwear,2021,1,Sports Direct,Online,2853,676.505,244.888
Men's Athletic Footwear,2021,1,Sports Direct,Outlet,975,226.41,1867.363
Men's Athletic Footwear,2021,1,West Gear,In-store,2725,1016.25,375.188
Men's Athletic Footwear,2021,1,West Gear,Online,2807,217.042,1010.686
Men's Athletic Footwear,2021,1,West Gear,Outlet,7739,3579.959,1566.269
Men's Athletic Footwear,2021,2,Amazon,In-store,475,226.25,95.563
Men's Athletic Footwear,2021,2,Amazon,Online,1077,262.677,94.547
Men's Athletic Footwear,2021,2,Amazon,Outlet,382,129.271,45.782
Men's Athletic Footwear,2021,2,Foot Locker,In-store,1175,416.25,145.688
Men's Athletic Footwear,2021,2,Foot Locker,Online,3456,888.955,2268.852
Men's Athletic Footwear,2021,2,Foot Locker,Outlet,1266,1294.733,468.036
Men's Athletic Footwear,2021,2,Kohl's,In-store,675,261.25,81.438
Men's Athletic Footwear,2021,2,Kohl's,Online,2073,314.148,1718.793
Men's Athletic Footwear,2021,2,Kohl's,Outlet,4085,1776.511,1040.653
Men's Athletic Footwear,2021,2,Sports Direct,In-store,800,297.5,113.0
Men's Athletic Footwear,2021,2,Sports Direct,Online,2329,555.146,2598.956
Men's Athletic Footwear,2021,2,Sports Direct,Outlet,867,223.526,1374.524
Men's Athletic Footwear,2021,2,West Gear,In-store,2350,900.0,331.501
Men's Athletic Footwear,2021,2,West Gear,Online,1489,122.728,2936.914
Men's Athletic Footwear,2021,2,West Gear,Outlet,2983,1153.285,727.77
Men's Athletic Footwear,2021,3,Amazon,In-store,525,250.0,105.625
Men's Athletic Footwear,2021,3,Amazon,Online,1064,251.772,90.494
Men's Athletic Footwear,2021,3,Amazon,Outlet,418,143.548,51.022
Men's Athletic Footwear,2021,3,Foot Locker,In-store,1200,455.0,159.25
Men's Athletic Footwear,2021,3,Foot Locker,Online,3321,1780.459,2169.823
Men's Athletic Footwear,2021,3,Foot Locker,Outlet,925,209.189,1515.826
Men's Athletic Footwear,2021,3,Kohl's,In-store,725,280.0,87.5
Men's Athletic Footwear,2021,3,Kohl's,Online,1557,303.106,1554.584
Men's Athletic Footwear,2021,3,Kohl's,Outlet,2554,942.054,254.001
Men's Athletic Footwear,2021,3,Sports Direct,In-store,850,317.5,120.0
Men's Athletic Footwear,2021,3,Sports Direct,Online,2515,473.314,1638.535
Men's Athletic Footwear,2021,3,Sports Direct,Outlet,4033,1125.737,2013.348
Men's Athletic Footwear,2021,3,Walmart,Online,423,66.96,904.75
Men's Athletic Footwear,2021,3,Walmart,Outlet,107,1.498,554.0
Men's Athletic Footwear,2021,3,West Gear,In-store,2425,947.5,348.875
Men's Athletic Footwear,2021,3,West Gear,Online,989,911.071,2506.943
Men's Athletic Footwear,2021,3,West Gear,Outlet,401,11.96,1407.613
Men's Athletic Footwear,2021,4,Amazon,In-store,475,226.25,95.563
Men's Athletic Footwear,2021,4,Amazon,Online,945,220.157,1042.466
Men's Athletic Footwear,2021,4,Amazon,Outlet,378,129.36,45.789
Men's Athletic Footwear,2021,4,Foot Locker,In-store,1075,416.25,145.688
Men's Athletic Footwear,2021,4,Foot Locker,Online,2288,1466.433,2795.758
Men's Athletic Footwear,2021,4,Foot Locker,Outlet,631,1124.39,1337.998
Men's Athletic Footwear,2021,4,Kohl's,In-store,675,261.25,81.438
Men's Athletic Footwear,2021,4,Kohl's,Online,1663,310.473,1589.857
Men's Athletic Footwear,2021,4,Kohl's,Outlet,3837,1437.28,361.763
Men's Athletic Footwear,2021,4,Sports Direct,In-store,775,310.0,118.0
Men's Athletic Footwear,2021,4,Sports Direct,Online,2579,457.278,1440.017
Men's Athletic Footwear,2021,4,Sports Direct,Outlet,5204,1693.391,2093.933
Men's Athletic Footwear,2021,4,Walmart,Online,479,83.412,981.514
Men's Athletic Footwear,2021,4,Walmart,Outlet,557,252.395,878.696
Men's Athletic Footwear,2021,4,West Gear,In-store,2175,860.0,316.189
